"","x"
"1",149.976414104052
"2",147.331236322272
"3",143.742098742287
"4",141.427000055757
"5",140.113798047
"6",139.005675801169
"7",139.381354679266
"8",141.318554850487
"9",145.670943553201
"10",148.635903355871
"11",148.597267866784
"12",147.124844167853
"13",145.357171597311
"14",144.59142614917
"15",143.353833560188
"16",137.070643164612
"17",128.86416171929
"18",122.887505557005
"19",120.024081778818
"20",118.589227772159
"21",121.415549617793
"22",125.637189745714
"23",133.662759726276
"24",137.364137707533
"25",137.742465911352
"26",133.440363203005
"27",129.155826556038
"28",127.855799404128
"29",125.957273871672
"30",116.051386033735
"31",105.598209887655
"32",96.3822990763183
"33",91.0377708071934
"34",90.3617594233942
"35",94.8646086928685
"36",99.6581769183476
"37",109.996677354026
"38",111.857374078794
"39",110.775465185494
"40",101.963076550312
"41",93.1641159877247
"42",90.2672273006729
"43",87.800739935508
"44",76.867443248349
"45",68.0830082412553
"46",57.5297754656232
"47",51.1049291737404
"48",52.1373587267573
"49",59.7974923631022
"50",64.6062279375847
"51",75.1565830797418
"52",73.8825070180512
"53",70.9435860556784
"54",59.0720140026074
"55",47.7063514939371
"56",44.4034074264907
"57",40.6121027043905
"58",30.3832797762894
"59",24.2679989050602
"60",15.1092333224322
"61",10.7206516725182
"62",13.2665689322991
"63",22.8130022402065
"64",28.3532618577283
"65",37.5251150307416
"66",36.0476632859681
"67",35.9861826481303
"68",22.3339569430406
"69",7.4891516405379
"70",3.67410742642483
"71",-3.24523525731857
"72",-14.2196991214683
"73",-17.0912632467583
"74",-22.4107029576666
"75",-23.9016263456746
"76",-18.1923420489703
"77",-4.85564312970439
"78",2.93292953017365
"79",11.9867518376814
"80",9.87259873057437
"81",13.4886954451295
"82",-0.482396347324055
"83",-16.3714443481068
"84",-17.4101838494503
"85",-27.0785552540166
"86",-37.2959158499908
"87",-37.6258574587758
"88",-41.9926588181003
"89",-41.8538378943612
"90",-34.1691177106952
"91",-17.4319752271488
"92",-9.53609522164319
"93",-1.00838673518484
"94",-4.11738225551431
"95",1.45390124995333
"96",-13.0478849308034
"97",-28.5303281802403
"98",-24.6028417356918
"99",-35.3678916870082
"100",-45.5742870757
"101",-44.9893083599443
"102",-49.1673628955949
"103",-46.4989142046612
"104",-36.6436061154577
"105",-16.8369131809536
"106",-8.92759350051816
"107",-1.54730694031932
"108",-5.18259684887499
"109",2.3701171686169
"110",-12.5857504509095
"111",-28.4262709705163
"112",-20.7296777129063
"113",-33.4946050082619
"114",-42.8667694500957
"115",-37.9828798943016
"116",-40.3481284589801
"117",-34.8765161411299
"118",-25.6293115328057
"119",-2.12452736502541
"120",6.00131296087352
"121",12.2149068759398
"122",8.80394478565799
"123",19.5475042092371
"124",4.22519402996531
"125",-15.0934417770393
"126",-7.53330519487932
"127",-21.0962522521511
"128",-27.6296070643687
"129",-16.3524162349503
"130",-12.5228100565261
"131",-1.05022398676422
"132",8.22311490647405
"133",35.5015858139678
"134",44.5841186859103
"135",49.2380856568181
"136",43.860778458148
"137",55.8762132879478
"138",39.9568534816477
"139",16.5493029470778
"140",24.8712715510026
"141",10.3316686578495
"142",7.84105792785991
"143",26.2363898578614
"144",36.7919186856417
"145",54.6747601945916
"146",65.0661158910161
"147",94.1400067901697
"148",102.614046533448
"149",102.325423451177
"150",93.3756033785501
"151",105.900148196016
"152",89.8233831795272
"153",62.1062162961197
"154",70.1136166776001
"155",55.3928602052406
"156",55.8354773297659
"157",80.0485193620785
"158",94.505128851083
"159",116.973014237495
"160",126.323845105924
"161",155.705622112767
"162",163.743259494458
"163",157.49684927466
"164",144.041793081926
"165",154.549418941591
"166",138.529698792422
"167",107.849252179142
"168",115.927721545665
"169",100.928631466312
"170",101.404439929157
"171",130.324035701832
"172",148.163666468377
"173",173.654176871585
"174",180.208784332072
"175",207.806511921174
"176",214.610521294681
"177",203.409179185071
"178",186.867580151086
"179",196.016410506297
